PLUS,Monto
Personal Jornalizado no mas 18 horas ( según ART. 7 INC. P HORA),"611,20"
Suplente con horario por dia,"2.668,80"
Retiro de residuos por unidad destinada a vivienda u oficina,"109,40"
Clasificación de residuos Resol. 2013 243 SSRT-GCABA,"1.883,60"
Valor vivienda,"401,80"
"Plus por antigüedad conf. Resoluc. 106/09 – inc. D, e, h, n y p del art. 7 y 8 por año ( 1%)","599,50"
Plus por antigüedad – por año ART. 11 ( 2%),"1.198,90"
Plus limpieza de cocheras,"1.492,40"
Plus moviemiento de coches – hasta 20 unidades,"2.209,70"
Plus Jardin,"1.492,40"
Plus Zona Desfavorable,50 %
Titulo de Encargado Integral de Edificio,10 %
Plus limpieza de piletas y mantenimiento del agua,"2.510,60"
Volver a Inicio,